basin,station_key,year,rows,months,minimum,maximum,missing_months_of_12
Dongjiang,东江江口,2016,12,12,1.64,3.02,0
Dongjiang,东江江口,2017,12,12,1.195,2.06,0
Dongjiang,东江江口,2018,12,12,1.03,2.09,0
Dongjiang,东江江口,2019,11,11,0.71,1.77,1
Dongjiang,东江江口,2020,12,12,0.91,3.1,0
Dongjiang,东江江口,2021,12,12,1.0,2.57,0
Dongjiang,东江江口,2022,12,12,1.22,2.56,0
Dongjiang,东江江口,2023,12,12,1.29,2.78,0
Dongjiang,东江江口,2024,12,12,1.21,3.57,0
Dongjiang,兴宁电站,2016,12,12,2.36,4.07,0
Dongjiang,兴宁电站,2017,12,12,1.87,3.48,0
Dongjiang,兴宁电站,2018,12,12,2.28,4.0,0
Dongjiang,兴宁电站,2019,11,11,2.24,3.17,1
Dongjiang,兴宁电站,2020,12,12,2.65,3.67,0
Dongjiang,兴宁电站,2021,12,12,2.34,4.36,0
Dongjiang,兴宁电站,2022,12,12,2.48,3.63,0
Dongjiang,兴宁电站,2023,12,12,2.04,4.17,0
Dongjiang,兴宁电站,2024,12,12,1.8,3.06,0
Dongjiang,庙咀里,2016,12,12,0.94,3.75,0
Dongjiang,庙咀里,2017,12,12,0.99,2.32,0
Dongjiang,庙咀里,2018,12,12,0.96,2.1,0
Dongjiang,庙咀里,2019,11,11,0.87,2.8,1
Dongjiang,庙咀里,2020,12,12,1.16,2.47,0
Dongjiang,庙咀里,2021,12,12,1.2,2.47,0
Dongjiang,庙咀里,2022,12,12,1.3,2.61,0
Dongjiang,庙咀里,2023,12,12,1.4,2.09,0
Dongjiang,庙咀里,2024,12,12,1.21,2.35,0
Dongjiang,马头福水,2016,12,12,0.33,1.15,0
Dongjiang,马头福水,2017,9,9,0.44,1.15,3
Dongjiang,马头福水,2021,12,12,1.04,1.92,0
Dongjiang,马头福水,2022,7,7,0.92,1.92,5
Dongjiang,马头福水,2023,4,4,0.76,1.34,8
Dongjiang,马头福水,2024,4,4,0.81,1.61,8
Dongjiang,马安大桥下,2016,12,12,0.82,3.32,0
Dongjiang,马安大桥下,2017,12,12,1.35,2.11,0
Dongjiang,马安大桥下,2018,12,12,0.84,2.98,0
Dongjiang,马安大桥下,2019,12,12,0.91,2.66,0
Dongjiang,马安大桥下,2020,12,12,1.01,2.59,0
Dongjiang,马安大桥下,2021,12,12,2.2,3.99,0
Dongjiang,马安大桥下,2022,12,12,1.36,3.57,0
Dongjiang,马安大桥下,2023,12,12,1.31,2.31,0
Dongjiang,马安大桥下,2024,12,12,1.39,2.61,0
Dongjiang,龙川城铁路桥,2016,12,12,1.59,2.74,0
Dongjiang,龙川城铁路桥,2017,12,12,1.31,2.01333,0
Dongjiang,龙川城铁路桥,2018,12,12,1.38,2.55,0
Dongjiang,龙川城铁路桥,2019,11,11,0.75,2.18,1
Dongjiang,龙川城铁路桥,2020,12,12,1.49,2.56,0
Dongjiang,龙川城铁路桥,2021,12,12,0.89,2.14,0
Dongjiang,龙川城铁路桥,2022,12,12,1.33,2.54,0
Dongjiang,龙川城铁路桥,2023,12,12,1.56,2.88,0
Dongjiang,龙川城铁路桥,2024,12,12,1.53,3.89,0
