c0,c1,c2,c3
3301635.527861292,29027207.169197321,2890901.9882740714,16626072.313196408
4016992.9114457541,36843720.342557043,3085169.7772909622,21520617.046496578
5754329.4602161208,53987820.249496974,3852491.343364907,22811851.904086806
8861447.812187884,63368208.213687822,4883246.0361450631,32171472.900514685
9398604.4726029765,80774237.308402792,8784107.6477180179,34826378.322993211
8238063.1322184363,68408483.731754109,7286129.4020484621,31012198.868535645
6819815.1497574868,55247025.243076354,5949448.4859807622,26092271.136820033
5642369.4778577806,45001698.211264722,4932185.0015450148,22226260.350438047
5373324.6489159362,38193000.747138835,4166961.3197193993,19976083.302043878
5020012.9939324297,33064346.09639835,3648253.5630798247,18544878.232210856
5671216.081406435,31419493.417082772,3307091.8900351841,17820153.573246703
4909294.5681723012,28080920.8279729,3025604.0660567097,16681309.040312991
4281076.6341132056,25323127.947402537,2786043.6791735431,15344148.267819257
3822212.9404225633,23373915.506263744,2599360.3402510383,14488967.543968193
3417794.7025851319,21374656.607885901,2489929.6170022967,13863100.863248967
3110059.3300049682,19740742.130999848,2347514.1440457883,13616437.682203885
2873183.6745369318,18649512.877830513,2285658.7104483321,13396919.870302252
2699329.4463887531,18135891.619372372,2255976.3565591294,13188491.571802584
2659034.974347828,17746552.489277098,2227896.3448108155,13003284.950297782
2622401.1143983994,17516101.920432691,2207863.9791273996,12826612.524872446
2590521.3705291906,19915125.223852314,3481727.4915038571,13458677.960980071
2646768.9020868712,20211380.400227923,4563979.4343121471,15383207.482690984
2621688.9225564403,18998697.758980203,3993844.0478414907,14460524.100059755
2589343.2969959038,18170632.470164478,3474438.6142256372,13780285.70971345
2557419.3017042507,17837128.73188756,3123358.8800693648,13543767.258854004
2524221.4063845365,17563670.340432275,2822963.0321196173,13291391.118352698
2582801.749236702,17658608.671465199,2667714.5895747435,13209998.710474752
2593591.358627025,17710397.723920412,2635609.0427079466,13243613.227024583
2895130.3541715369,18893919.584842235,2570946.8526893863,13432230.837854961
3039485.9713724973,19010427.337362595,2498618.9965764922,13396515.6637176
2945470.3819308663,18592728.486020911,2361558.4090329264,13246386.935782896
2764022.4514977131,18013208.797342036,2303412.447057778,13043390.015069693
2716292.6217407691,17734494.239020415,2273719.2875514007,12835336.89410338
2668960.3439908382,17468144.833374426,2250090.9610066488,12630710.33314334
2631100.5961433393,17244668.879417636,2227855.022095195,12474615.890884381
